lecture_id,first_day,first_day_end_time,first_day_start_time,lecture_name,lecture_place,second_day,second_day_end_time,second_day_start_time,major_id,professor_name,place
1,thu,19:40,17:00,커리어멘토링,,NULL,NULL,NULL,1,윤병운,"405-450(원흥관 1,3 E450 강의실)"
2,thu,16:00,13:00,"산학융합종합설계(인공지능을 활용한 콘텐츠 제작)",,NULL,NULL,NULL,1,김형호,"310-441(중앙도서관 T-메이커실습실)"
3,mon,12:00,10:30,경영과학1,,wed,12:00,10:30,1,홍성조,"405-305(원흥관 1,3 F305 ERP실습실),405-305(원흥관 1,3 F305 ERP실습실)"
4,mon,18:00,16:30,데이터분석입문,,thu,18:00,16:30,1,백정우,"405-505(원흥관 1,3 F505 자료분석실습실),405-505(원흥관 1,3 F505 자료분석실습실)"
5,fri,13:30,10:30,어드벤처디자인,,NULL,NULL,NULL,1,박준영,"405-325(원흥관 1,3 E325 원흥 PBL)"
6,thu,13:30,10:30,정보시스템분석설계,,NULL,NULL,NULL,1,김소정,"405-305(원흥관 1,3 F305 ERP실습실)"
7,thu,19:40,17:00,다학제캡스톤디자인,,NULL,NULL,NULL,1,임대운,"401-5143(신공학관(기숙사) 5143 강의실_스마트)"
8,wed,17:00,14:00,기업사회맞춤형캡스톤디자인2,,NULL,NULL,NULL,1,김형호,"401-4161(신공학관(기숙사) 4161 종합설계실습실)"
9,tue,20:30,18:00,기술창업캡스톤디자인2,,NULL,NULL,NULL,1,정기수,"405-325(원흥관 1,3 E325 원흥 PBL)"
10,wed,16:30,15:00,첨단제조공학,,fri,16:30,15:00,1,박준영,"405-450(원흥관 1,3 E450 강의실),405-450(원흥관 1,3 E450 강의실)"
11,mon,15:00,13:30,유통물류관리,,wed,15:00,13:30,1,전성범,"405-450(원흥관 1,3 E450 강의실),405-450(원흥관 1,3 E450 강의실)"
12,mon,13:30,12:00,제품개발,,thu,15:00,13:30,1,장준호,"405-305(원흥관 1,3 F305 ERP실습실),405-305(원흥관 1,3 F305 ERP실습실)"
13,tue,16:30,15:00,기술경영,,thu,16:30,15:00,1,윤병운,"405-450(원흥관 1,3 E450 강의실),405-450(원흥관 1,3 E450 강의실)"
14,fri,13:30,10:30,산업시스템공학종합설계,,NULL,NULL,NULL,1,장준호,"405-521(원흥관 1,3 F521 산업시스템 서비스공학실습실)"
15,fri,13:30,10:30,헬스케어공학,,NULL,NULL,NULL,1,염세경,"405-450(원흥관 1,3 E450 강의실)"
16,tue,13:30,10:30,품질공학,,NULL,NULL,NULL,1,서용윤,"405-127(원흥관 1,3 E127 강의실)"
17,mon,18:00,15:00,산업AI,,NULL,NULL,NULL,1,이종태,"405-450(원흥관 1,3 E450 강의실)"
18,tue,13:30,12:00,UI/UX설계,,thu,13:00,12:00,1,장준호,"405-450(원흥관 1,3 E450 강의실),405-450(원흥관 1,3 E450 강의실)"
19,tue,18:00,15:00,머신러닝2,,NULL,NULL,NULL,1,이종태,"405-305(원흥관 1,3 F305 ERP실습실)"
20,wed,18:00,15:00,산업시스템프로그래밍2,,NULL,NULL,NULL,1,이종태,"405-305(원흥관 1,3 F305 ERP실습실)"
21,thu,16:00,13:00,"산학융합종합설계(인공지능을 활용한 콘텐츠 제작)",,NULL,NULL,NULL,2,김형호,"310-441(중앙도서관 T-메이커실습실)"
22,mon,14:30,13:00,확률및랜덤프로세스,,wed,14:30,13:00,2,이기송,"401-6141(신공학관(기숙사) 6141 강의실),401-6141(신공학관(기숙사) 6141 강의실)"
23,tue,15:00,13:00,컴퓨터알고리즘및실습,,thu,15:00,13:00,2,김웅섭,"401-3163(신공학관(기숙사) 3163 정보통신공학실습실1),401-3163(신공학관(기숙사) 3163 정보통신공학실습실1)"
24,tue,12:00,10:00,컴퓨터구성,,thu,12:00,10:00,2,김양우,"401-5143(신공학관(기숙사) 5143 강의실_스마트),401-3165(신공학관(기숙사) 3165 정보통신공학실습실2)"
25,tue,18:50,17:00,객체지향언어와실습,,thu,18:50,17:00,2,이유철,"401-3163(신공학관(기숙사) 3163 정보통신공학실습실1),401-3163(신공학관(기숙사) 3163 정보통신공학실습실1)"
26,tue,18:00,16:00,정보통신프로그래밍,,thu,18:00,16:00,2,임민중,"401-6122(신공학관(기숙사) 6122 정보통신공학 실습실),401-6122(신공학관(기숙사) 6122 정보통신공학 실습실)"
27,mon,12:00,10:30,신호와시스템,,wed,12:00,10:30,2,류철,"401-5143(신공학관(기숙사) 5143 강의실_스마트),401-5143(신공학관(기숙사) 5143 강의실_스마트)"
28,fri,14:00,10:00,어드벤처디자인,,NULL,NULL,NULL,2,김은정,"401-6122(신공학관(기숙사) 6122 정보통신공학 실습실)"
29,wed,17:00,14:00,기업사회맞춤형캡스톤디자인2,,NULL,NULL,NULL,2,김형호,"401-4161(신공학관(기숙사) 4161 종합설계실습실)"
30,thu,19:40,17:00,다학제캡스톤디자인,,NULL,NULL,NULL,2,임대운,"401-5143(신공학관(기숙사) 5143 강의실_스마트)"
31,thu,20:30,18:00,기술창업캡스톤디자인2,,NULL,NULL,NULL,2,이태현,"401-6147(신공학관(기숙사) 6147 강의실)"
32,mon,11:30,10:00,데이터베이스체제,,wed,11:30,10:00,2,양기주,"401-3165(신공학관(기숙사) 3165 정보통신공학실습실2),401-3165(신공학관(기숙사) 3165 정보통신공학실습실2)"
33,mon,11:30,10:00,컴퓨터네트워크,,wed,11:30,10:00,2,이재훈,"401-6141(신공학관(기숙사) 6141 강의실),401-6141(신공학관(기숙사) 6141 강의실)"
34,thu,17:00,13:00,캡스톤디자인2,,NULL,NULL,NULL,2,임대운,"401-5143(신공학관(기숙사) 5143 강의실_스마트)"
35,tue,17:00,15:00,임베디드시스템,,thu,17:00,15:00,2,김동환,"401-6141(신공학관(기숙사) 6141 강의실),401-6141(신공학관(기숙사) 6141 강의실)"
36,mon,16:00,14:30,디지털영상처리,,wed,16:00,14:30,2,류철,"401-5143(신공학관(기숙사) 5143 강의실_스마트),401-5143(신공학관(기숙사) 5143 강의실_스마트)"
37,thu,21:30,18:00,모바일소프트웨어,,NULL,NULL,NULL,2,김웅섭,"401-6141(신공학관(기숙사) 6141 강의실)"
38,wed,20:30,18:00,암호알고리즘및응용,,NULL,NULL,NULL,2,임대운,"401-5143(신공학관(기숙사) 5143 강의실_스마트)"
39,mon,16:30,15:00,딥러닝,,wed,16:30,15:00,2,김동환,"401-3163(신공학관(기숙사) 3163 정보통신공학실습실"
40,thu,19:40,18:50,"산학융합종합설계(지식경영 프로젝트)",,NULL,NULL,NULL,2,이동환,"401-3107(신공학관(기숙사) 3107 강의실)"
41,tue,16:00,14:30,디지털통신,,thu,16:00,14:30,2,임민중,"401-6122(신공학관(기숙사) 6122 정보통신공학 실습실),401-6122(신공학관(기숙사) 6122 정보통신공학 실습실)"
42,mon,21:30,18:00,지능형IoT시스템설계및지식재산권,,NULL,NULL,NULL,2,김웅섭,"401-6122(신공학관(기숙사) 6122 정보통신공학 실습실)"
43,thu,16:00,13:00,"산학융합종합설계(인공지능을 활용한 콘텐츠 제작)",,NULL,NULL,NULL,3,김형호,"310-441(중앙도서관 T-메이커실습실)"
44,thu,16:30,13:30,회로이론2,,NULL,NULL,NULL,3,송병두,"401-5147(신공학관(기숙사) 5147 강의실)"
45,mon,12:00,10:00,논리회로설계,,wed,12:00,10:00,3,전준현,"401-3133(신공학관(기숙사) 3133 전자회로실험실),401-3133(신공학관(기숙사) 3133 전자회로실험실)"
46,thu,12:00,10:30,물리전자공학2,,fri,12:00,10:30,3,김성준,"401-3107(신공학관(기숙사) 3107 강의실),401-3107(신공학관(기숙사) 3107 강의실)"
47,tue,16:00,14:30,전자기학2,,fri,16:00,14:30,3,박정동,"401-5141(신공학관(기숙사) 5141 강의실_스마트),401-5147(신공학관(기숙사) 5147 강의실)"
48,mon,16:30,14:30,디지털실험,,NULL,NULL,NULL,3,이동욱,"401-3155(신공학관(기숙사) 3155 디지털실험실)"
49,tue,10:30,9:00,신호및시스템,,wed,10:30,9:00,3,원치선,"401-3193(신공학관(기숙사) 3193 설계시뮬레이션강의실),401-3193(신공학관(기숙사) 3193 설계시뮬레이션강의실)"
50,thu,18:00,16:00,공학프로그램응용,,fri,18:00,16:00,3,김건욱,"401-3193(신공학관(기숙사) 3193 설계시뮬레이션강의실),401-3193(신공학관(기숙사) 3193 설계시뮬레이션강의실)"
51,mon,16:00,14:00,객체지향프로그래밍,,wed,16:00,14:00,3,전준현,"401-3133(신공학관(기숙사) 3133 전자회로실험실),401-3133(신공학관(기숙사) 3133 전자회로실험실)"
52,fri,13:00,9:00,어드벤처디자인,,NULL,NULL,NULL,3,봉정식,"310-441(중앙도서관 T-메이커실습실)"
53,thu,19:40,17:00,다학제캡스톤디자인,,NULL,NULL,NULL,3,임대운,"401-5143(신공학관(기숙사) 5143 강의실_스마트)"
54,wed,17:00,14:00,기업사회맞춤형캡스톤디자인2,,NULL,NULL,NULL,3,김형호,"401-4161(신공학관(기숙사) 4161 종합설계실습실)"
55,tue,20:30,18:00,기술창업캡스톤디자인2,,NULL,NULL,NULL,3,정기수,"405-325(원흥관 1,3 E325 원흥 PBL)"
56,tue,16:00,14:30,전력공학2,,thu,15:30,14:00,3,정진우,"401-6147(신공학관(기숙사) 6147 강의실),401-6147(신공학관(기숙사) 6147 강의실)"
57,thu,13:30,12:00,전기기계2,,fri,13:30,12:00,3,한기진,"401-6147(신공학관(기숙사) 6147 강의실),401-6147(신공학관(기숙사) 6147 강의실)"
58,wed,16:30,15:00,SoC설계,,thu,16:30,15:00,3,홍유표,"401-3189(신공학관(기숙사) 3189 캡스톤디자인실),401-3189(신공학관(기숙사) 3189 캡스톤디자인실)"
59,mon,14:30,13:00,반도체공정,,tue,14:30,13:00,3,김삼동,"401-3107(신공학관(기숙사) 3107 강의실),401-3107(신공학관(기숙사) 3107 강의실)"
60,thu,12:00,10:30,전동력제어및응용,,fri,12:00,10:30,3,정현삼,"401-5141(신공학관(기숙사) 5141 강의실_스마트),401-5141(신공학관(기숙사) 5141 강의실_스마트)"
61,mon,21:30,18:00,캡스톤디자인,,NULL,NULL,NULL,3,전준현,"401-3189(신공학관(기숙사) 3189 캡스톤디자인실)"
62,mon,12:00,10:30,전자회로2,,fri,12:00,10:30,3,박정동,"401-5147(신공학관(기숙사) 5147 강의실),401-5147(신공학관(기숙사) 5147 강의실)"
63,thu,17:30,16:00,전기응용,,fri,17:30,16:00,3,정현삼,"401-3107(신공학관(기숙사) 3107 강의실),401-3107(신공학관(기숙사) 3107 강의실)"
64,tue,16:00,14:30,나노전자기계공학,,wed,16:00,14:30,3,김현석,"401-5147(신공학관(기숙사) 5147 강의실),401-5147(신공학관(기숙사) 5147 강의실)"
65,tue,17:30,16:00,분산전원시스템,,fri,16:00,14:30,3,류상욱,"401-5147(신공학관(기숙사) 5147 강의실),401-6147(신공학관(기숙사) 6147 강의실)"
66,mon,17:30,16:00,신재생에너지,,wed,17:30,16:00,3,전준현,"401-5147(신공학관(기숙사) 5147 강의실),401-5147(신공학관(기숙사) 5147 강의실)"
67,mon,14:30,13:00,영상처리,,tue,14:30,13:00,3,김준화,"401-3193(신공학관(기숙사) 3193 설계시뮬레이션강의실),401-3193(신공학관(기숙사) 3193 설계시뮬레이션강의실)"
68,mon,15:30,14:00,디지털통신,,wed,15:30,14:00,3,손인수,"401-5147(신공학관(기숙사) 5147 강의실),401-3193(신공학관(기숙사) 3193 설계시뮬레이션강의실)"
69,mon,17:30,16:00,기계학습론,,wed,13:30,12:00,3,박강령,"401-5141(신공학관(기숙사) 5141 강의실_스마트),401-3193(신공학관(기숙사) 3193 설계시뮬레이션강의실)"
70,wed,18:25,16:30,전자회로실험,,NULL,NULL,NULL,3,변상진,"401-3157(신공학관(기숙사) 3157 기초전자실험실 1)"
71,tue,12:00,10:30,제어공학개론,,wed,12:00,10:30,3,김민성,"401-6147(신공학관(기숙사) 6147 강의실),405-318(원흥관 1,3 F318 (F) 공용컴퓨터실)"
72,mon,14:30,13:00,아날로그집적회로,,wed,14:30,13:00,3,변상진,"401-6147(신공학관(기숙사) 6147 강의실),401-6147(신공학관(기숙사) 6147 강의실)"
73,thu,16:00,14:00,임베디드신호처리시스템,,fri,16:00,14:00,3,김건욱,"401-5141(신공학관(기숙사) 5141 강의실_스마트),401-3193(신공학관(기숙사) 3193 설계시뮬레이션강의실)"
74,tue,12:00,10:00,안테나공학,,thu,12:00,10:00,3,박정동,"401-5147(신공학관(기숙사) 5147 강의실),401-3193(신공학관(기숙사) 3193 설계시뮬레이션강의실)"
75,tue,10:30,9:00,센서응용공학,,wed,10:30,9:00,3,김민성,"401-6147(신공학관(기숙사) 6147 강의실),401-6147(신공학관(기숙사) 6147 강의실)"
